World, EntropyRatio, MapSize, OccupancyRatio, NumObs_Cv2, AngleInfo_mean, distance_norm, distance_var, distance_avg
map_38,0.02776339853735661,5780.0,0.6593425605536332,4,180.0,0.5,0.0,0.00161
map_101,0.035808601610077345,5780.0,0.5093425605536333,8,328.69565217391306,0.5,0.0,0.01025
map_40,0.037839348408535554,5780.0,0.47024221453287196,20,300.0,0.4,0.0,0.01218
map_10,0.03661907211896006,5780.0,0.47709342560553636,4,180.0,0.8,0.0,0.00313
map_96,0.03416426940987873,5780.0,0.5522837370242215,6,313.04347826086956,0.3,1e-05,0.0127
map_28,0.03395715868794176,5780.0,0.5454325259515571,10,300.0,0.6,0.0,0.00896
map_61,0.029328106377058117,5780.0,0.628961937716263,8,144.0,0.5,0.0,0.00621
map_30,0.04163471478099029,5780.0,0.395121107266436,12,225.0,0.3,0.0,0.0113
map_44,0.026175815415160182,5780.0,0.6807266435986159,2,180.0,[],[],None
map_74,0.04576627946067087,5780.0,0.3052941176470588,6,270.0,0.7,0.0,0.01165
map_19,0.022326447802962376,5780.0,0.7322145328719722,5,328.69565217391306,0.8,0.0,0.00808
map_93,0.03962645093823249,5780.0,0.4378892733564014,22,294.54545454545456,0.5,1e-05,0.01072
map_82,0.03626311631155724,5780.0,0.5057093425605537,11,166.15384615384616,0.5,0.0,0.01187
map_35,0.008789554407923776,5780.0,0.9151557093425605,1,360.0,[],[],None
map_58,0.036009714186007256,5780.0,0.5174048442906574,15,307.3170731707317,0.5,1e-05,0.01147
map_85,0.0359801169383194,5780.0,0.503356401384083,20,140.8695652173913,0.6,1e-05,0.01021
map_92,0.0319853577263507,5780.0,0.5716608996539793,14,170.52631578947367,0.7,1e-05,0.01077
map_26,0.025705812010579598,5780.0,0.6826643598615917,8,304.61538461538464,0.5,0.0,0.01176
map_73,0.03956006141247377,5780.0,0.44352941176470584,18,135.0,0.6,0.0,0.01139
map_77,0.03624114622345591,5780.0,0.5044982698961937,15,308.57142857142856,0.4,0.0,0.00908
map_52,0.019982853319982986,5780.0,0.7622837370242215,6,240.0,0.7,0.0,0.00676
map_15,0.029080174926941805,5780.0,0.6330449826989619,4,288.0,1.0,0.0,0.00934
map_67,0.028869359015603543,5780.0,0.6339792387543253,7,257.14285714285717,0.6,0.0,0.00694
map_13,0.030448251445017466,5780.0,0.5999307958477509,6,288.0,0.3,0.0,0.00756
map_6,0.09168463918757999,4500.0,0.18471111111111116,1,360.0,[],[],None
map_90,0.036157927495115705,5780.0,0.5193079584775087,16,305.08474576271186,0.6,0.0,0.01032
map_87,0.03368573831883626,5780.0,0.5464013840830451,9,311.35135135135135,0.6,1e-05,0.00826
map_43,0.037042768878047555,5780.0,0.5049134948096885,22,309.9130434782609,0.5,1e-05,0.01296
map_99,0.03774569657047818,5780.0,0.48197231833910037,20,115.2,0.6,0.0,0.00891
map_12,0.025613878970934187,5780.0,0.6794117647058824,2,180.0,[],[],None
map_91,0.032550390527132815,5780.0,0.5694809688581315,16,156.52173913043478,0.8,1e-05,0.01087
map_106,0.03457120746704221,5780.0,0.5461245674740485,14,127.05882352941177,0.4,0.0,0.00956
map_86,0.03672885567395678,5780.0,0.4797231833910035,18,313.04347826086956,0.4,0.0,0.01078
map_41,0.02467503716109255,5780.0,0.7019377162629759,2,180.0,[],[],None
map_9,0.034380585252957264,5780.0,0.5132179930795848,6,180.0,0.3,0.0,0.00607
map_94,0.039122033087542876,5780.0,0.4530795847750865,15,291.8918918918919,0.4,0.0,0.0135
map_76,0.033156903886598914,5780.0,0.5482006920415226,8,294.54545454545456,0.8,0.0,0.0079
map_63,0.03768992069379588,5780.0,0.4799307958477509,23,216.0,0.6,1e-05,0.01113
map_22,0.024630757588803544,5780.0,0.7050173010380623,7,315.0,0.7,0.0,0.00943
map_65,0.03412680475224699,5780.0,0.528961937716263,14,264.70588235294116,0.6,0.0,0.00874
map_88,0.033705754563111916,5780.0,0.5455017301038062,10,266.6666666666667,0.6,1e-05,0.01005
map_55,0.03277840940644546,5780.0,0.583840830449827,15,240.0,0.5,0.0,0.01007
map_33,0.03288092836322709,5780.0,0.5757785467128027,16,171.42857142857142,0.6,0.0,0.01174
map_97,0.034058921370256165,5780.0,0.5504498269896194,4,270.0,1.0,0.0,0.00681
map_34,0.022452233904968324,5780.0,0.7407612456747406,5,216.0,0.4,0.0,0.00498
map_95,0.04026020709688427,5780.0,0.432318339100346,18,304.61538461538464,0.4,0.0,0.01181
map_64,0.03343130727173878,5780.0,0.553598615916955,8,180.0,0.8,1e-05,0.01119
map_23,0.03523014412051333,5780.0,0.5370588235294118,4,180.0,0.5,0.0,0.00562
map_47,0.03512357510108195,5780.0,0.5341868512110727,12,192.0,0.4,0.0,0.01135
map_32,0.032966039195279635,5780.0,0.5865743944636679,14,324.59016393442624,0.5,0.0,0.01359
map_105,0.03730862433731596,5780.0,0.48266435986159173,10,321.70212765957444,0.5,1e-05,0.00993
map_78,0.03617241142045064,5780.0,0.47404844290657444,12,315.0,0.3,0.0,0.01049
map_66,0.03826133817613161,5780.0,0.47536332179930796,16,330.0,0.5,1e-05,0.01073
map_100,0.03474078159154809,5780.0,0.5353287197231834,10,284.2105263157895,0.4,0.0,0.00745
map_103,0.035667774012426545,5780.0,0.5140138408304498,16,332.7731092436975,0.5,1e-05,0.01372
map_49,0.039319564160730604,5780.0,0.4394809688581315,15,189.47368421052633,0.5,1e-05,0.01285
map_21,0.0269322387980613,5780.0,0.6648096885813148,11,180.0,0.5,0.0,0.00741
map_79,0.03349726443366596,5780.0,0.5404498269896194,12,313.04347826086956,0.7,0.0,0.01038
map_84,0.03707882447630645,5780.0,0.4886505190311419,19,180.0,0.5,1e-05,0.01045
map_24,0.027567086338191937,5780.0,0.6668166089965397,3,240.0,0.7,0.0,0.00393
map_107,0.033630613661857295,5780.0,0.5496539792387543,13,190.58823529411765,0.6,1e-05,0.01141
map_71,0.03766408674225216,5780.0,0.4847058823529412,20,294.54545454545456,0.5,0.0,0.01076
map_36,0.033254519562459034,5780.0,0.5826989619377163,14,254.11764705882354,0.4,0.0,0.00853
map_27,0.03491065436098626,5780.0,0.5519377162629757,17,165.0,0.6,1e-05,0.01255
map_69,0.0340132602828865,5780.0,0.5460899653979239,12,240.0,0.6,0.0,0.00937
map_98,0.0366917839029603,5780.0,0.5060553633217992,12,192.0,0.6,0.0,0.01071
map_54,0.03721198168876299,5780.0,0.5100692041522492,20,288.0,0.6,0.0,0.01076
map_102,0.03350233217756042,5780.0,0.5477508650519032,10,332.8301886792453,0.7,1e-05,0.011
map_46,0.03759109468996045,5780.0,0.48235294117647054,18,310.6849315068493,0.7,0.0,0.00934
map_11,0.0304154714049138,5780.0,0.5987543252595156,9,290.7692307692308,0.8,0.0,0.01006
map_31,0.037875431364457625,5780.0,0.4845674740484429,18,172.17391304347825,0.4,0.0,0.01224
map_81,0.02629983338658689,5780.0,0.6707958477508651,8,317.6470588235294,0.5,0.0,0.00958
map_60,0.028993589308775842,5780.0,0.6187543252595156,10,313.04347826086956,0.6,1e-05,0.01035
map_70,0.03714929518928866,5780.0,0.491764705882353,16,180.0,0.7,0.0,0.01253
map_37,0.030560159856605276,5780.0,0.6210034602076124,6,300.0,0.3,0.0,0.00737
map_75,0.024622158686715936,5780.0,0.7044290657439447,6,180.0,0.7,0.0,0.01056
map_42,0.038902273069257115,5780.0,0.4442906574394464,20,152.30769230769232,0.6,1e-05,0.01227
map_25,0.012698091299309737,5780.0,0.8653287197231834,2,180.0,[],[],None
map_50,0.03012580780341491,5780.0,0.6263667820069204,8,135.0,0.5,1e-05,0.01097
map_57,0.03700501843273455,5780.0,0.4980276816608996,15,331.0344827586207,0.5,1e-05,0.01324
map_48,0.03135849557656115,5780.0,0.5893425605536332,8,144.0,0.5,0.0,0.00966
map_53,0.03350388931858622,5780.0,0.5607612456747405,6,327.27272727272725,0.5,1e-05,0.01244
map_72,0.03752461308439881,5780.0,0.4847750865051903,10,261.8181818181818,0.6,0.0,0.00598
map_56,0.032899103622384664,5780.0,0.566643598615917,16,171.42857142857142,0.6,0.0,0.01031
map_89,0.034117626269810734,5780.0,0.5426297577854671,14,293.8775510204082,0.6,0.0,0.01056
map_80,0.0318678251976972,5780.0,0.5821107266435986,6,240.0,0.7,0.0,0.00957
map_17,0.017511343906838683,5780.0,0.8026297577854671,4,240.0,0.8,0.0,0.00415
map_8,0.03219518365958107,5780.0,0.5525259515570935,6,120.0,0.3,0.0,0.00438
map_51,0.0350591398726373,5780.0,0.5406920415224914,13,332.3076923076923,0.8,1e-05,0.0126
map_29,0.019595386584897102,5780.0,0.7827335640138409,2,180.0,[],[],None
map_16,0.035821435916009205,5780.0,0.5167474048442906,4,288.0,1.0,0.0,0.00829
map_68,0.014426996143038285,5780.0,0.8420415224913494,2,180.0,1.0,0.0,9e-05
map_18,0.03640558599885649,5780.0,0.5028373702422145,19,276.16438356164383,0.5,1e-05,0.01223
map_7,0.034017039629040235,5780.0,0.5341176470588236,2,180.0,[],[],None
map_62,0.0372550071075965,5780.0,0.4748096885813149,22,150.0,0.6,0.0,0.01059
map_83,0.031072516119180205,5780.0,0.6006574394463668,11,320.0,0.6,1e-05,0.0127
map_14,0.021080431662528053,5780.0,0.7583044982698962,4,308.57142857142856,0.5,0.0,0.00962
map_45,0.0367264695664246,5780.0,0.5042906574394463,6,266.6666666666667,0.7,0.0,0.0078
map_104,0.036909560920702335,5780.0,0.5023875432525952,17,334.2857142857143,0.6,1e-05,0.01205
map_59,0.03217083833052466,5780.0,0.577681660899654,8,341.05263157894734,0.5,1e-05,0.01563
map_20,0.033197026133848284,5780.0,0.5698615916955017,7,200.0,0.7,0.0,0.00793
map_39,0.039175352474692296,5780.0,0.45366782006920414,16,310.15384615384613,0.6,0.0,0.01024
