#{"t_start": 1614212011.7333984, "env_id": null}
r,l,t,done_reason,is_success
-0.37874,651,1519.204012,0,0
2.9776,651,1525.778991,0,0
14.96241,194,1527.773994,2,1
0.00643,651,1534.354485,0,0
3.13627,651,1540.96952,0,0
1.92284,651,1547.60919,0,0
15.2562,85,1548.503961,2,1
15.05732,95,1549.520231,2,1
0.84401,651,1556.09006,0,0
14.59102,414,1560.315428,2,1
0.59409,651,1566.890429,0,0
0.40511,651,1573.471147,0,0
-0.23215,651,1580.050656,0,0
-1.94209,651,1586.705432,0,0
15.1932,271,1589.465426,2,1
15.04162,65,1590.16034,2,1
1.50723,651,1596.735983,0,0
15.0649,57,1597.355826,2,1
-0.38518,651,1603.954489,0,0
0.05047,651,1610.544593,0,0
-0.16388,651,1617.114633,0,0
0.03569,651,1623.68468,0,0
-1.20506,651,1630.254561,0,0
-2.13101,651,1636.824921,0,0
1.81167,651,1643.409645,0,0
0.68535,651,1649.990359,0,0
-0.62827,651,1656.540473,0,0
0.32722,651,1663.111674,0,0
0.54132,651,1669.728516,0,0
15.86889,499,1674.787885,2,1
0.24039,651,1681.398083,0,0
-0.46397,651,1688.028239,0,0
0.41962,651,1694.640401,0,0
0.12645,651,1701.249604,0,0
1.60909,651,1707.824883,0,0
0.15263,651,1714.424474,0,0
0.2031,651,1721.005482,0,0
16.07091,337,1724.429919,2,1
-19.83379,331,1727.820408,1,0
-18.27239,471,1732.599533,1,0
15.0519,132,3268.515855,2,1
16.87654,519,3273.767112,2,1
15.24308,197,3275.791466,2,1
14.57078,224,3278.076949,2,1
15.1301,262,3280.745895,2,1
15.22636,166,3282.45603,2,1
15.65089,332,3285.84149,2,1
14.96888,448,3290.405621,2,1
-0.86276,651,3297.026254,0,0
14.58375,485,3301.94628,2,1
-1.89872,651,3308.528271,0,0
-24.53306,335,3311.963793,1,0
15.17506,179,3313.810915,2,1
13.24393,533,3319.225954,2,1
-20.18344,241,3321.690884,1,0
15.05936,76,3322.495704,2,1
16.25185,319,3325.750999,2,1
15.89418,333,3329.154438,2,1
15.13427,211,3331.314685,2,1
15.18946,99,3332.349428,2,1
15.44841,184,3334.245411,2,1
15.3349,385,3338.149416,2,1
12.51974,424,3342.444423,2,1
15.76566,265,3345.154786,2,1
16.22602,390,3349.144934,2,1
15.7428,329,3352.515157,2,1
-20.10746,194,3354.540136,1,0
15.26036,308,3357.678752,2,1
2.30093,651,3364.285635,0,0
15.23176,183,3366.170756,2,1
15.9181,441,3370.661146,2,1
15.19055,150,3372.238457,2,1
15.03556,90,3373.203274,2,1
15.47158,468,3377.968643,2,1
-0.89687,651,3384.604991,0,0
0.41239,651,3391.20353,0,0
15.61971,342,3394.672607,2,1
14.6112,257,3397.377555,2,1
16.11543,391,3401.381767,2,1
-1.51099,651,3407.94751,0,0
15.23825,123,4954.181882,2,1
15.12731,113,4955.362125,2,1
16.6282,392,4959.374117,2,1
16.14592,309,4962.514193,2,1
15.3012,184,4964.419254,2,1
15.27338,173,4966.199327,2,1
15.2478,102,4967.274911,2,1
15.36456,149,4968.813819,2,1
15.44787,161,4970.46938,2,1
15.23935,130,4971.823951,2,1
15.70506,323,4975.124996,2,1
15.41525,155,4976.739152,2,1
16.17128,301,4979.799086,2,1
15.38371,183,4981.684232,2,1
14.27322,186,4983.594467,2,1
15.34954,200,4985.666113,2,1
15.37496,192,4987.63699,2,1
15.72078,362,4991.316518,2,1
15.7023,344,4994.833597,2,1
16.47107,407,4998.968348,2,1
-20.29236,316,5002.213328,1,0
15.33381,146,5003.782396,2,1
15.56431,259,5006.457608,2,1
15.78912,279,5009.318098,2,1
15.40722,154,5010.907258,2,1
15.70191,324,5014.243443,2,1
15.27726,135,5015.638539,2,1
15.50415,270,5018.393629,2,1
-24.16961,346,5021.918389,1,0
15.31384,124,5023.215841,2,1
15.47953,268,5025.951944,2,1
15.51279,195,5027.956147,2,1
17.25474,481,5032.861376,2,1
15.26262,264,5035.561307,2,1
15.25604,104,5036.650946,2,1
15.44347,229,5038.995671,2,1
-20.37295,362,5042.681339,1,0
15.24273,127,5044.015315,2,1
15.23106,115,5045.285794,2,1
15.58439,219,5047.533473,2,1
15.17237,206,6600.065351,2,1
14.51258,398,6604.127138,2,1
16.08071,462,6608.806586,2,1
-20.06598,441,6613.329834,1,0
-20.47422,169,6615.074848,1,0
0.07146,651,6621.666103,0,0
-0.21507,651,6628.250314,0,0
-20.37122,23,6628.535777,1,0
15.5521,201,6630.60541,2,1
15.10244,233,6632.990195,2,1
-19.23915,414,6637.263713,1,0
-21.20051,258,6639.907381,1,0
15.06828,166,6641.62226,2,1
15.19642,155,6643.237494,2,1
14.61396,382,6647.165109,2,1
3.32113,651,6653.775094,0,0
-20.5172,327,6657.12213,1,0
15.58796,427,6661.462059,2,1
15.5577,233,6663.856996,2,1
15.01535,89,6664.796975,2,1
-20.27475,20,6665.072022,1,0
0.32387,651,6671.657146,0,0
-20.22387,127,6672.987255,1,0
15.32836,138,6674.42206,2,1
-20.71307,203,6676.517133,1,0
15.27756,90,6677.47705,2,1
-20.64653,152,6679.062142,1,0
14.79734,159,6680.701998,2,1
15.2081,300,6683.767195,2,1
14.88716,225,6686.072174,2,1
15.19092,383,6689.997166,2,1
-20.10925,82,6690.87722,1,0
15.13618,89,6691.831769,2,1
-20.15357,314,6695.047468,1,0
15.19201,237,6697.486624,2,1
13.43139,513,6702.754957,2,1
14.66966,232,6705.139951,2,1
-20.23586,23,6705.449893,1,0
-20.10086,362,6709.203713,1,0
-20.57212,23,6709.498649,1,0
15.8314,304,8258.028686,2,1
-0.47361,651,8264.61762,0,0
15.47756,195,8266.616687,2,1
15.98227,371,8270.391823,2,1
15.33552,231,8272.751797,2,1
15.83626,300,8275.817112,2,1
15.29972,265,8278.523002,2,1
15.20677,234,8280.92338,2,1
14.82431,320,8284.177898,2,1
15.23196,519,8289.448058,2,1
15.73687,281,8292.317886,2,1
16.23873,329,8295.672983,2,1
15.30026,217,8297.897944,2,1
16.8702,603,8304.013321,2,1
2.89836,651,8310.614036,0,0
16.16923,408,8314.753449,2,1
15.26613,112,8315.943143,2,1
15.16162,173,8317.717727,2,1
15.01037,264,8320.407671,2,1
15.99518,536,8325.862956,2,1
15.07255,93,8326.837801,2,1
15.31337,300,8329.887816,2,1
-24.22496,110,8331.052684,1,0
-20.04845,229,8333.415382,1,0
15.201,86,8334.319812,2,1
15.25292,109,8335.471518,2,1
15.24027,154,8337.068079,2,1
-19.87291,435,8341.477959,1,0
0.21775,651,8348.06294,0,0
15.24689,213,8350.242772,2,1
-39.66167,651,8356.895047,0,0
15.95427,297,8359.925146,2,1
16.00157,330,8363.294519,2,1
16.04395,332,8366.684519,2,1
15.2087,103,8367.769646,2,1
15.05656,130,8369.124558,2,1
15.1742,148,8370.659491,2,1
15.23605,374,8374.46505,2,1
15.55998,466,8379.190587,2,1
0.87259,651,8385.834607,0,0
-0.89075,651,9936.726523,0,0
15.20189,133,9938.106413,2,1
15.08758,451,9942.693447,2,1
15.39286,311,9945.86274,2,1
15.08896,102,9946.928218,2,1
15.66688,293,9949.912641,2,1
15.03933,237,9952.337349,2,1
15.25877,102,9953.408123,2,1
15.41358,132,9954.792396,2,1
15.42438,226,9957.123387,2,1
-0.47162,651,9963.72805,0,0
15.47345,348,9967.278336,2,1
0.2073,651,9973.857812,0,0
14.06481,592,9979.848017,2,1
15.01559,205,9981.947598,2,1
15.10991,215,9984.142747,2,1
14.53386,502,9989.268612,2,1
15.33264,383,9993.158409,2,1
0.10675,651,9999.815382,0,0
15.41398,246,10002.321684,2,1
-20.60367,63,10003.012655,1,0
15.29365,308,10006.14341,2,1
15.41669,245,10008.648373,2,1
15.02463,130,10010.013403,2,1
-22.20527,103,10011.088205,1,0
15.91534,430,10015.453388,2,1
15.08507,179,10017.293385,2,1
15.13366,351,10020.863366,2,1
12.22955,357,10024.509149,2,1
15.17679,260,10027.15427,2,1
15.13855,107,10028.284062,2,1
15.02522,91,10029.249292,2,1
-21.91843,265,10031.96415,1,0
15.41036,528,10037.304351,2,1
-0.00965,651,10043.907089,0,0
-0.26759,651,10050.480019,0,0
6.4948,363,10054.189935,2,1
15.10922,314,10057.377437,2,1
-0.61826,651,10063.952353,0,0
-0.52031,651,10070.547505,0,0
15.19471,223,11619.480514,2,1
-0.42496,651,11626.081321,0,0
-0.30316,651,11632.661476,0,0
3.19198,651,11639.247139,0,0
15.15963,248,11641.771733,2,1
15.62329,485,11646.708058,2,1
-0.15587,651,11653.338738,0,0
16.72093,566,11659.185607,2,1
15.16853,218,11661.431679,2,1
15.57613,295,11664.456618,2,1
15.27383,250,11667.021417,2,1
15.56283,260,11669.691831,2,1
-21.34347,116,11670.916268,1,0
15.10458,501,11676.041359,2,1
15.28171,160,11677.708506,2,1
15.31044,113,11678.904323,2,1
16.24885,430,11683.289191,2,1
15.27698,354,11686.889192,2,1
15.31669,350,11690.480412,2,1
12.68372,376,11694.304943,2,1
17.11073,598,11700.365798,2,1
-0.68554,651,11706.934984,0,0
15.42957,203,11709.035854,2,1
16.29112,480,11713.915666,2,1
12.33069,363,11717.625561,2,1
15.13668,176,11719.435749,2,1
15.06542,76,11720.250629,2,1
15.15561,456,11724.885812,2,1
-20.18109,319,11728.143527,1,0
15.57086,428,11732.493481,2,1
12.34472,488,11737.458701,2,1
15.37039,357,11741.093448,2,1
15.30484,339,11744.585584,2,1
0.06004,651,11751.160429,0,0
15.24829,323,11754.476128,2,1
15.16226,204,11756.56606,2,1
17.53977,622,11762.876408,2,1
15.31882,312,11766.05112,2,1
15.12663,226,11768.356105,2,1
15.08336,221,11770.676991,2,1
15.53302,227,13320.569591,2,1
15.37483,189,13322.503354,2,1
15.84834,287,13325.428461,2,1
15.3883,153,13327.00365,2,1
14.85945,413,13331.193581,2,1
15.25083,136,13332.598515,2,1
15.4313,156,13334.203643,2,1
15.60192,244,13336.688533,2,1
15.19943,326,13340.003538,2,1
15.21116,126,13341.318414,2,1
15.4238,193,13343.293607,2,1
15.25633,126,13344.603706,2,1
15.34788,183,13346.479178,2,1
15.58931,246,13348.998779,2,1
15.82208,277,13351.854544,2,1
15.70034,263,13354.553955,2,1
15.05564,260,13357.215738,2,1
15.81299,289,13360.170502,2,1
16.47962,556,13365.795744,2,1
15.53565,221,13368.060538,2,1
15.688,271,13370.834122,2,1
14.91678,337,13374.287256,2,1
15.42442,155,13375.895555,2,1
15.79625,337,13379.32053,2,1
2.43949,651,13385.918084,0,0
15.64479,302,13388.992614,2,1
-20.42121,278,13391.822133,1,0
16.01237,358,13395.511805,2,1
-21.22354,357,13399.141875,1,0
15.37522,161,13400.801977,2,1
15.12749,429,13405.156903,2,1
15.3841,163,13406.836617,2,1
15.5502,220,13409.081798,2,1
15.53376,235,13411.489604,2,1
14.36109,456,13416.204637,2,1
15.61714,252,13418.789478,2,1
15.84573,303,13421.885837,2,1
15.60659,215,13424.080865,2,1
16.67456,440,13428.56639,2,1
0.01369,651,13435.130573,0,0
-2.54001,651,14992.828871,0,0
-20.43131,89,14993.77329,1,0
-20.34179,180,14995.634255,1,0
-19.32917,211,14997.81831,1,0
15.31783,407,15001.958632,2,1
14.70594,549,15007.528369,2,1
15.2343,440,15011.988621,2,1
15.80776,362,15015.679227,2,1
-1.32102,651,15022.268892,0,0
-21.83189,296,15025.309966,1,0
15.40273,265,15028.019864,2,1
14.95856,229,15030.369774,2,1
-20.11224,92,15031.350811,1,0
0.09667,651,15037.959742,0,0
15.20315,116,15039.16978,2,1
15.10542,117,15040.390567,2,1
15.0918,182,15042.264594,2,1
15.25269,201,15044.345187,2,1
14.76036,459,15049.005276,2,1
-22.21687,260,15051.680722,1,0
15.41024,510,15056.84522,2,1
14.77647,219,15059.090153,2,1
11.9998,474,15063.908905,2,1
-19.06362,208,15066.073879,1,0
-20.93695,91,15067.0805,1,0
-21.0736,141,15068.54565,1,0
-19.81192,514,15073.812054,1,0
0.35136,651,15080.438719,0,0
15.17322,221,15082.69778,2,1
15.1056,134,15084.093253,2,1
-20.05647,452,15088.708526,1,0
-21.42005,447,15093.233571,1,0
15.27617,307,15096.353956,2,1
15.54835,429,15100.735392,2,1
-20.63198,70,15101.485001,1,0
15.09945,155,15103.085041,2,1
15.26114,278,15105.925179,2,1
-20.47914,53,15106.510015,1,0
15.04034,335,15109.920159,2,1
13.10449,492,15114.910117,2,1
15.94758,314,16660.14658,2,1
15.12445,54,16660.732282,2,1
15.49513,238,16663.162087,2,1
15.68397,374,16666.971592,2,1
15.92884,410,16671.146923,2,1
0.91503,651,16677.721955,0,0
15.87244,376,16681.541756,2,1
15.40878,215,16683.741659,2,1
15.82725,335,16687.161935,2,1
15.19932,223,16689.456743,2,1
15.47741,286,16692.381871,2,1
15.40477,228,16694.715469,2,1
1.11879,651,16701.323473,0,0
15.16642,168,16703.053233,2,1
15.20524,286,16705.968297,2,1
16.13696,403,16710.058345,2,1
15.50511,337,16713.478394,2,1
16.1233,362,16717.168786,2,1
16.08988,375,16720.983938,2,1
15.13654,245,16723.494199,2,1
15.16998,174,16725.3002,2,1
15.42252,220,16727.55039,2,1
15.38687,206,16729.6592,2,1
15.33892,144,16731.150019,2,1
15.31387,223,16733.434465,2,1
15.61171,284,16736.328861,2,1
14.70672,182,16738.194601,2,1
15.93302,390,16742.159264,2,1
15.24191,132,16743.523924,2,1
15.28613,226,16745.833963,2,1
15.35503,184,16747.78379,2,1
15.43966,271,16750.543899,2,1
15.39683,156,16752.15408,2,1
15.31236,173,16753.933613,2,1
15.24787,110,16755.083604,2,1
15.34529,203,16757.163746,2,1
15.55375,345,16760.669801,2,1
15.36296,194,16762.65391,2,1
14.40157,247,16765.183823,2,1
15.87822,451,16769.763849,2,1
14.68978,234,18328.228513,2,1
14.8409,247,18330.753457,2,1
-2.96905,651,18337.35758,0,0
15.26859,206,18339.467132,2,1
-19.95619,193,18341.467041,1,0
15.10643,73,18342.247073,2,1
14.81544,135,18343.652338,2,1
15.58995,214,18345.859372,2,1
15.22301,147,18347.380455,2,1
15.95012,409,18351.543955,2,1
-20.72975,132,18352.92591,1,0
15.73722,239,18355.383955,2,1
-21.45206,174,18357.184066,1,0
-21.40649,141,18358.663902,1,0
15.20861,137,18360.089022,2,1
15.8383,412,18364.29398,2,1
15.75443,251,18366.874001,2,1
15.97291,383,18370.769838,2,1
15.3243,138,18372.214027,2,1
15.68023,330,18375.579554,2,1
-20.59255,316,18378.798933,1,0
-19.10164,266,18381.534444,1,0
15.26717,134,18382.929055,2,1
15.60138,397,18386.974181,2,1
15.20002,134,18388.365227,2,1
15.65594,219,18390.623268,2,1
13.40685,205,18392.745263,2,1
15.30679,165,18394.459132,2,1
15.1803,106,18395.589096,2,1
-20.33326,26,18395.909418,1,0
-0.53964,651,18402.54006,0,0
15.75341,428,18406.985321,2,1
-20.18592,56,18407.619548,1,0
15.39106,199,18409.669759,2,1
15.12844,165,18411.369718,2,1
14.89087,104,18412.459558,2,1
15.31561,265,18415.170445,2,1
15.17068,78,18416.004352,2,1
15.99492,344,18419.525203,2,1
15.51253,285,18422.434721,2,1
-18.92083,315,19970.731997,1,0
-19.8018,178,19972.567218,1,0
15.53615,363,19976.266701,2,1
-20.38223,19,19976.526614,1,0
16.54755,323,19979.816606,2,1
14.828,452,19984.386828,2,1
-20.18838,191,19986.412514,1,0
15.57146,239,19988.858042,2,1
15.60795,217,19991.087458,2,1
15.70465,329,19994.452541,2,1
15.44297,395,19998.483095,2,1
-19.79623,353,20002.077798,1,0
15.28919,111,20003.247684,2,1
16.74069,565,20008.98823,2,1
15.11778,106,20010.102782,2,1
15.20136,94,20011.092622,2,1
16.65839,419,20015.367747,2,1
15.23601,132,20016.737728,2,1
15.47887,235,20019.142702,2,1
15.35809,374,20022.948325,2,1
15.60805,316,20026.157695,2,1
15.77228,286,20029.07769,2,1
15.31592,188,20031.008757,2,1
-20.62367,17,20031.24876,1,0
15.11907,402,20035.333847,2,1
15.30376,138,20036.769593,2,1
14.64077,398,20040.803933,2,1
16.34652,382,20044.67885,2,1
15.32208,179,20046.517727,2,1
-20.79408,273,20049.297703,1,0
15.30916,148,20050.845081,2,1
15.46382,274,20053.638364,2,1
15.418,148,20055.17282,2,1
14.70443,549,20060.734047,2,1
15.7301,345,20064.318949,2,1
15.0365,107,20065.443929,2,1
15.22055,144,20066.939125,2,1
-0.18125,651,20073.545339,0,0
-19.86532,287,20076.474913,1,0
15.5491,189,20078.436603,2,1
-21.83883,277,21624.137895,1,0
-1.39931,651,21630.728143,0,0
-1.93034,651,21637.308999,0,0
15.44844,296,21640.333937,2,1
14.13297,407,21644.493921,2,1
-21.97183,301,21647.558857,1,0
-19.83093,272,21650.343791,1,0
0.54075,651,21656.924475,0,0
2.14991,651,21663.499023,0,0
15.09654,343,21667.005975,2,1
-20.86832,260,21669.665725,1,0
-20.58327,322,21672.945731,1,0
-9.86793,651,21679.53371,0,0
15.67379,266,21682.258395,2,1
-1.85989,651,21688.828515,0,0
-20.69671,311,21692.003986,1,0
-3.43447,651,21698.593583,0,0
14.20098,323,21701.882088,2,1
-2.1349,651,21708.467315,0,0
-20.75292,237,21710.953519,1,0
15.27643,291,21713.917674,2,1
-2.12226,651,21720.492553,0,0
15.33063,103,21721.58723,2,1
16.01966,426,21725.912386,2,1
16.35666,513,21731.152603,2,1
2.14255,651,21737.743706,0,0
-19.17004,459,21742.424455,1,0
-19.99674,230,21744.783314,1,0
-22.38062,221,21747.05382,1,0
-20.19457,179,21748.913415,1,0
-19.57158,461,21753.593356,1,0
-1.26417,651,21760.183524,0,0
15.39369,260,21762.838549,2,1
-20.0995,303,21765.9387,1,0
-21.56262,76,21766.753537,1,0
15.68167,352,21770.338456,2,1
-2.44282,651,21776.913828,0,0
-22.24906,600,21782.983339,1,0
0.9159,651,21789.578492,0,0
15.11476,322,21792.895371,2,1
15.76454,389,23335.1729,2,1
15.14567,91,23336.132863,2,1
15.29895,325,23339.453835,2,1
15.46182,399,23343.539873,2,1
16.5534,398,23347.584986,2,1
15.71769,225,23349.885206,2,1
15.55934,304,23353.000125,2,1
0.202,651,23359.590083,0,0
15.28043,152,23361.159942,2,1
15.42929,207,23363.326364,2,1
15.08977,94,23364.3164,2,1
15.59412,272,23367.097497,2,1
0.21579,651,23373.820084,0,0
15.65144,400,23377.884968,2,1
15.51431,239,23380.335589,2,1
15.33148,153,23381.90983,2,1
15.47352,293,23384.90006,2,1
15.87025,494,23389.929947,2,1
15.81077,264,23392.625561,2,1
16.05657,403,23396.714992,2,1
15.25228,117,23397.945009,2,1
15.27449,154,23399.56705,2,1
15.32547,201,23401.622349,2,1
15.46144,325,23404.932209,2,1
15.7767,371,23408.718086,2,1
15.8546,341,23412.1773,2,1
16.24646,497,23417.227451,2,1
15.45497,253,23419.81263,2,1
1.76554,651,23426.392423,0,0
15.34173,236,23428.803152,2,1
15.33791,314,23431.997235,2,1
15.28058,195,23433.997198,2,1
15.29071,273,23436.783807,2,1
15.14764,124,23438.073653,2,1
-20.5191,90,23439.038904,1,0
15.16303,143,23440.518803,2,1
15.3077,164,23442.209381,2,1
15.41393,207,23444.338904,2,1
15.32111,143,23445.818802,2,1
15.2699,127,23447.138936,2,1
-0.89051,651,24999.550609,0,0
-21.59347,136,25000.971329,1,0
-21.06792,133,25002.35537,1,0
14.9966,210,25004.510279,2,1
16.38754,417,25008.783111,2,1
15.63362,204,25010.878314,2,1
14.85405,273,25013.668163,2,1
13.45365,351,25017.243356,2,1
14.70126,282,25020.123214,2,1
15.10397,309,25023.263224,2,1
15.48274,169,25025.036641,2,1
0.67317,651,25031.636725,0,0
14.78636,240,25034.14018,2,1
14.53122,230,25036.496718,2,1
-20.50078,104,25037.586905,1,0
15.10167,275,25040.391719,2,1
